2021.01.05 13:11:50 INFO  web[][DbMigrations] #3303 'Migrate 'resource_id' to 'component_uuid' in 'properties'': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3304 'Remove column 'resource_id' in 'properties''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3304 'Remove column 'resource_id' in 'properties'': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3305 'Add 'component_uuid' column to 'group_roles''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3305 'Add 'component_uuid' column to 'group_roles'': success | time=6ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3306 'Migrate 'resource_id' to 'component_uuid' in 'group_roles''...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3306 'Migrate 'resource_id' to 'component_uuid' in 'group_roles'': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3307 'Remove column 'resource_id' in 'group_roles''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3307 'Remove column 'resource_id' in 'group_roles'': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3308 'Add 'component_uuid' column to 'user_roles''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3308 'Add 'component_uuid' column to 'user_roles'': success | time=22ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3309 'Migrate 'resource_id' to 'component_uuid' in 'user_roles''...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3309 'Migrate 'resource_id' to 'component_uuid' in 'user_roles'': success | time=12ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3310 'Remove column 'resource_id' in 'user_roles''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3310 'Remove column 'resource_id' in 'user_roles'': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3311 'Remove column 'id' in 'components''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3311 'Remove column 'id' in 'components'': success | time=26ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3400 'Drop primary key on 'ID' column of 'EVENTS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3400 'Drop primary key on 'ID' column of 'EVENTS' table': success | time=6ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3401 'Add primary key on 'UUID' column of 'EVENTS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3401 'Add primary key on 'UUID' column of 'EVENTS' table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3402 'Drop column 'ID' of 'EVENTS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3402 'Drop column 'ID' of 'EVENTS' table': success | time=10ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3403 'Add 'uuid' and 'createdAt' columns for notifications'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3403 'Add 'uuid' and 'createdAt' columns for notifications': success | time=7ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3404 'Populate 'uuid' and 'createdAt columns for notifications'...
